Nome,Prova 1,Prova 2,Trabalho
Etta Little,3,6,8
Anne Valeri,1,8,10
Charles Kline,1,2,9
Kayleen Villanueva,6,5,8
Ethan Trout,1,5,9
Stephen Mccoy,2,7,7
Richard Hedgpeth,4,3,8
Shelley Mccall,0,3,9
Benjamin Pence,6,6,9
Jose Robinson,2,5,7
Bobbie Gray,1,3,8
Charles Zirin,2,5,10
Otto Kapur,2,7,7
Charles Reed,1,7,6
Dennis Tran,1,5,9
Mary Gilliland,2,3,9
Kelley Huddle,4,3,8
Lawrence Mabry,3,4,8
Bobby Conner,3,8,9
Jo Gentry,1,9,6
Elisa Winters,1,4,9
Myrna Margerum,2,5,6
Scott Nunez,3,5,9
Kathryn Patterson,1,4,7
Jennifer Jordan,3,3,9
Steven Agee,4,5,6
Matt Pavlik,1,6,6
Josephine Stein,3,4,9
Alvin Jackson,2,4,7
Johnny Cole,2,5,9
