Nome,Prova 1,Prova 2,Trabalho
James Palmer,1,5,9
Emanuel Humes,1,4,10
Nancy Benson,1,4,7
Irene Frazier,3,3,8
Robert Adams,2,5,7
Doyle Locher,1,7,9
Elizabeth Everette,2,7,9
Louise Allen,1,5,9
Daniel Grillo,1,5,9
Sara Wyatt,4,5,9
Lewis Reigle,3,4,9
Albert Everett,3,7,10
Timothy Mashack,3,4,8
Constance Bechtold,2,6,8
Angela Kotas,3,7,10
Catherine Washington,2,4,10
Travis True,1,4,5
Ryan Luna,2,3,9
Jose Ramos,0,5,6
Lynnette Terry,1,6,8
Claudio Fowler,2,6,9
Floyd Kirkland,2,5,8
Christopher Alvardo,2,3,8
Edna Law,3,5,9
Robert Shane,2,6,9
Raymond Andreason,1,5,8
Trent Morgia,1,5,9
James Pilkinton,2,7,7
Marjorie Coletti,0,5,9
Philip Tilley,2,7,7
